Rank,Name,Team,ByeWeek,Age,Position,PositionRank,AverageDraftPositionPPR
426,Shelton Gibson,PHI,9,28,WR,WR174,378
427,Auden Tate,CIN,9,26,WR,WR175,379
428,Teddy Bridgewater,NO,6,30,QB,QB40,381
429,Tanner Gentry,CHI,5,28,WR,WR176,382
430,Daurice Fountain,IND,9,27,WR,WR177,383
431,Demetrius Harris,KC,12,32,TE,TE49,384
432,Elijhaa Penny,ARI,9,29,RB,RB116,385
433,Will Tye,NE,11,31,TE,TE50,386
434,Ray-Ray McCloud III,BUF,11,26,WR,WR178,387
435,Austin Proehl,BUF,11,27,WR,WR179,388
436,Josh Lambo,JAX,9,32,K,K19,391
437,Dylan Cantrell,LAC,8,29,TE,TE51,392
438,Will Dissly,SEA,7,27,TE,TE52,393
439,Shane Wynn,JAX,9,30,WR,WR180,395
440,Reggie Davis,ATL,8,27,WR,WR181,396
441,Russell Gage,ATL,8,27,WR,WR182,397
442,Patrick DiMarco,BUF,11,34,FB,RB117,398
443,James Develin,NE,11,35,FB,RB118,399
444,Geoff Swaim,DAL,8,29,TE,TE53,400
445,Stephen Anderson,NE,11,30,TE,TE54,401
446,Ka'imi Fairbairn,HOU,10,29,K,K20,405
447,Jarius Wright,CAR,4,33,WR,WR183,406
448,De'Anthony Thomas,KC,12,30,WR,WR184,407
449,Tyler Ervin,HOU,10,29,RB,RB119,408
450,Dustin Hopkins,WAS,4,32,K,K21,409
451,Andy Jones,DET,6,29,WR,WR185,410
452,Chris Thompson,HOU,10,29,WR,WR186,411
453,Deon Cain,IND,9,26,WR,WR187,412
454,Jacquizz Rodgers,TB,5,33,RB,RB120,413
455,Brandon Coleman,NO,6,31,WR,WR188,414
456,Phil Dawson,ARI,9,48,K,K22,415
457,Sebastian Janikowski,SEA,7,45,K,K23,416
458,Chandler Catanzaro,TB,5,32,K,K24,417
459,Dwayne Washington,NO,6,29,RB,RB121,418
460,Mack Brown,WAS,4,31,RB,RB122,419
461,Caleb Sturgis,LAC,8,33,K,K25,420
462,Bo Scarbrough,JAX,9,26,RB,RB123,421
463,Nick O'Leary,MIA,11,30,TE,TE55,422
464,Maurice Harris,WAS,4,30,WR,WR189,423
465,Boston Scott,NO,6,28,RB,RB124,424
466,David Williams,JAX,9,29,RB,RB125,425
467,Giorgio Tavecchio,ATL,8,33,K,K26,426
468,Ito Smith,ATL,8,27,RB,RB126,427
469,Brandon Reilly,BUF,11,29,WR,WR190,428
